SCH_NAME,LCITY,LZIP
Citrus High,Porterville,93257
Monache High,Porterville,93257
Porterville High,Porterville,93257
Monte Vista Elementary,Porterville,93257
Vine Street Community Day,Porterville,93257
Granite Hills High,Porterville,93257
Los Robles Elementary,Porterville,93257
Prospect Education Center,Porterville,93257
Santa Fe Elementary,Porterville,93257
Strathmore High,Strathmore,93267
Sequoia Middle,Porterville,93257
Butterfield Charter,Porterville,93257
Harmony Magnet Academy,Strathmore,93267
Porterville Military Academy,Porterville,93257
Grand View Elementary,Dinuba,93618
Jefferson Elementary,Dinuba,93618
Lincoln Elementary,Dinuba,93618
Washington Intermediate,Dinuba,93618
Wilson Elementary,Dinuba,93618
Dinuba High,Dinuba,93618
Sierra Vista High (Continuation),Dinuba,93618
Roosevelt Elementary,Dinuba,93618
Ronald Reagan Academy,Dinuba,93618
John F. Kennedy Elementary,Dinuba,93618
Caruthers Elementary,Caruthers,93609
Caruthers High,Caruthers,93609
MARC High,Caruthers,93609
Webster Elementary,Madera,93636
Independence Continuation High,Madera,93636
Liberty High,Madera,93636
Ranchos Middle,Madera,93636
Lincoln Community Day,Madera,93636
Sierra View Elementary,Madera,93636
Centennial Independent Study,Madera,93636
Valley Children's Hospital,Madera,93636
Freedom Home,Madera,93636
Valley Center High,Valley Center,92082
Oak Glen High,Valley Center,92082
Pauma Elementary,Pauma Valley,92061
Valley Center Middle,Valley Center,92082
Valley Center Primary,Valley Center,92082
Valley Center Elementary,Valley Center,92082
Valley Center Prep,Valley Center,92082
Lilac,Valley Center,92082
North Kern Vocational Training Center,Wasco,93280
Kern County ROP,Mojave,93501
Kern High ROC,Bakersfield,93307
Kings County ROP,Hanford,93230
Lake County ROP,Lakeport,95453
Lassen ROP,Susanville,96130
Napa County ROP,Napa,94559
Modoc County ROP,Alturas,96101
Forty-Niner ROP,Auburn,95603
Plumas County ROP,Quincy,95971
Tri-Valley ROP,Livermore,94551
Eden Area ROP,Hayward,94545
Mission Valley ROCP,Fremont,94538
Amador County ROP,Jackson,95642
Butte County ROP,Chico,95928
Contra Costa County ROP,Pleasant Hill,94523
Del Norte County ROP,Crescent City,95531
Riverside County ROP,Riverside,92502
Sacramento County ROP,Sacramento,95826
Central Sierra ROP,Placerville,95667
Valley ROP,Sanger,93657
Fresno ROP,Fresno,93710
Glenn County ROP,Willows,95988
Humboldt County ROP,Eureka,95501
Imperial Valley ROP,El Centro,92243
La Puente Valley ROP,La Puente,91744
East San Gabriel Valley ROP,West Covina,91790
Tri-Cities ROP,Whittier,90606
Southern California ROC,Torrance,90501
Long Beach Unified School District ROP,Long Beach,90815
Los Angeles Unified School District ROCP,Los Angeles,90017
Los Angeles County ROP,Downey,90242
Hart ROP,Santa Clarita,91350
Antelope Valley ROP,Palmdale,93550
Compton Unified ROP,Compton,90221
San Antonio ROP,Pomona,91767
Manzanita Community Day,North Fork,93643
Chawanakee Academy Charter,O'Neals,93645
North Fork Elementary,North Fork,93643
Spring Valley Elementary,O'Neals,93645
Mountain Oaks High,North Fork,93643
Minarets High,O'Neals,93645
Minarets Charter High,O'Neals,93645
Hillside Elementary,Madera,93636
Marin County ROP,San Rafael,94913
Mendocino County ROP,Ukiah,95482
Merced County ROP,Merced,95341
Mission Trails ROP,Salinas,93905
North Orange County ROP,Anaheim,92801
College and Career Advantage,San Juan Capistrano,92675
Coastline ROP,Costa Mesa,92626
Central Orange County CTE Partnership (CTEp),Costa Mesa,92626
Shasta-Trinity ROP,Redding,96001
William R. Rouse ROP,Sierraville,96126
Siskiyou County ROP,Yreka,96097
Sonoma County ROP,Santa Rosa,95403
Colton-Redlands-Yucaipa ROP,Redlands,92374
Baldy View ROP,Ontario,91761
San Bernardino County ROP,San Bernardino,92410
Santa Barbara County ROP-South,Santa Barbara,93160
Santa Barbara County ROP-North,Santa Maria,93455
Silicon Valley Career Technical Education,San Jose,95136
Santa Clara County ROP-South,Gilroy,95020
San Diego County ROP,San Diego,92111
San Francisco County ROP,San Francisco,94121
San Joaquin County ROCP,Stockton,95206
San Mateo County ROP,Redwood City,94065
Santa Cruz County ROP,Santa Cruz,95060
Yosemite ROP,Modesto,95354
Tri-County ROP,Yuba City,95993
Tehama County ROP,Red Bluff,96080
Career Education Center,Camarillo,93010
Yolo County ROP,Woodland,95776
Century High,Alhambra,91801
